Point Forecast,Lo 80,Hi 80,Lo 95,Hi 95
41.66666666666651,33.28708094423406,50.04625238909895,28.851196214368073,54.48213711896494
41.66666666666651,33.28708094423406,50.04625238909895,28.851196214368073,54.48213711896494
41.66666666666651,33.28708094423406,50.04625238909895,28.851196214368073,54.48213711896494
41.66666666666651,33.28708094423406,50.04625238909895,28.851196214368073,54.48213711896494
41.66666666666651,33.28708094423406,50.04625238909895,28.851196214368073,54.48213711896494
41.66666666666651,33.28708094423406,50.04625238909895,28.851196214368073,54.48213711896494
41.66666666666651,33.28708094423406,50.04625238909895,28.851196214368073,54.48213711896494
41.66666666666651,33.28708094423406,50.04625238909895,28.851196214368073,54.48213711896494
41.66666666666651,33.28708094423406,50.04625238909895,28.851196214368073,54.48213711896494
41.66666666666651,33.28708094423406,50.04625238909895,28.851196214368073,54.48213711896494
41.66666666666651,33.28708094423406,50.04625238909895,28.851196214368073,54.48213711896494
41.66666666666651,33.28708094423406,50.04625238909895,28.851196214368073,54.48213711896494
